  id    start_time    burst_time    reverse_time
----  ------------  ------------  --------------
   1            10             0              10
   2             5            10              15
   3             8            15              23
   4             3            23              26
   5             6            26              32
   6             2            32              34
   7             3            34              37
   8             6            37              43
   9             7            43              50
  10             5            50              55
Average waiting time = 27.0
