  id    start_time    burst_time    reverse_time
----  ------------  ------------  --------------
   1            10            45              55
   2             5            34              39
   3             8            44              52
   4             3            24              27
   5             6            37              43
   6             2            10              12
   7             3            27              30
   8             6            39              45
   9             7            46              53
  10             5            43              48

Average waiting time = 34.90000 
