  id    start_time    burst_time    reverse_time
----  ------------  ------------  --------------
   1             6             3               9
   2             8            42              50
   3             7            20              27
   4             3             0               3
   5             6             9              15
   6             8            50              58
   7             7            27              34
   8             6            15              21
   9             8            58              66
  10             7            34              41

Average waiting time = 25.80000 
